id;source;name;phone;has_website;website_url;yandex_url;rating;reviews_count;address;target_result
65b51b80-086a-4507-8fa0-7730a3278e59;yandex;Анастасия;+7 (966) 250-13-26;0;;https://yandex.ru/maps/org/anastasiya/106544959060/;5,0;236;Даурская ул., 44В, Казань;
734ec3cf-ce7c-46d3-a741-dde79e1f502d;yandex;Микс бьюти;+7 (965) 625-06-25;0;;https://yandex.ru/maps/org/miks_byuti/80053178664/;4,7;98;ул. Александра Курынова, 11, корп. 1, Казань;
e06a7cd3-b98a-4335-83b8-c4c1a65a7b0e;yandex;Us'man;+7 (903) 062-80-94;0;;https://yandex.ru/maps/org/us_man/82675186675/;5,0;144;ул. Азата Аббасова, 8, Казань;
15f0cb4c-3cd3-4de6-89a1-4fb388f11337;yandex;Ближе;+7 (917) 239-54-23;0;;https://yandex.ru/maps/org/blizhe/218541684388/;4,7;55;ул. Аделя Кутуя, 110Д, корп. 2, Казань;
42a28e6f-1c33-420b-b61b-078943384cd8;yandex;Элис;+7 (937) 578-97-33;0;;https://yandex.ru/maps/org/elis/1712690877/;4,2;78;ул. Юлиуса Фучика, 94, Казань;
f6f82899-9a96-4b62-971b-fee6f8c5bce8;yandex;Любимый;+7 (927) 039-25-03;0;;https://yandex.ru/maps/org/lyubimy/1195495336/;5,0;120;ул. Адоратского, 10, Казань;
61b4b0a5-a217-42df-946a-bfa27ab90e9d;yandex;Дея;+7 (950) 310-46-61;0;;https://yandex.ru/maps/org/deya/110836145659/;4,4;61;ул. Толбухина, 19, Казань;
bc924a88-451e-49ba-800a-89be7dd28232;yandex;Студия красоты Люмен;+7 (843) 295-96-00;0;;https://yandex.ru/maps/org/studiya_krasoty_lyumen/1070725532/;4,3;37;ул. Аделя Кутуя, 44А, Казань;
1d4d01a8-bad7-42f8-aef6-71fe989a53da;yandex;Alyona Voiskovich;+7 (919) 689-39-41;0;;https://yandex.ru/maps/org/alyona_voiskovich/189002695569/;4,8;40;ул. Аделя Кутуя, 8А, Казань;
651acbde-4b86-4a28-b171-a8be7cdabf7e;yandex;Студия 16а;+7 (904) 674-98-91;0;;https://yandex.ru/maps/org/studiya_16a/57619161409/;4,7;114;Гвардейская ул., 16А, Казань;
ce6c8a58-fac5-4eb4-b0cf-f1f371f67716;yandex;Бьюти салон;+7 (993) 404-08-88;0;;https://yandex.ru/maps/org/byuti_salon/130031565304/;4,8;33;ул. Азата Аббасова, 13, Казань;
b7c3f3c2-2cc6-4e34-a2ff-70fa08b46a4b;yandex;Ell;+7 (843) 260-95-97;0;;https://yandex.ru/maps/org/ell/126051909885/;5,0;140;ул. Галиаскара Камала, 18, Казань;
d123dcc4-fc34-4704-b9da-d097cf6db89d;yandex;Ангел;+7 (917) 223-28-05;0;;https://yandex.ru/maps/org/angel/1100209132/;4,5;115;ул. Нурсултана Назарбаева, 45, Казань;
efa89019-f7b4-4fc6-802b-8cc322b93a42;yandex;Флирт;+7 (905) 022-59-93;0;;https://yandex.ru/maps/org/flirt/1283052028/;4,4;19;Волочаевская ул., 6, Казань;
9d54766e-717f-4c93-af16-0b0e8aad2a6c;yandex;A’esthetic;+7 (987) 286-41-39;0;;https://yandex.ru/maps/org/a_esthetic/192359116101/;4,9;99;ул. Николая Ершова, 62, Казань;
036c833c-5f25-4798-9b17-6a1686bc940d;yandex;Be love;+7 (952) 047-79-97;0;;https://yandex.ru/maps/org/be_love/131827796956/;5,0;110;ул. Родины, 24В, Казань;
d5daf04e-adf6-44f8-a675-c8129d1e4f57;yandex;Парикмахерская Студия А;+7 (843) 263-08-36;0;;https://yandex.ru/maps/org/parikmakherskaya_studiya_a/1190280241/;4,2;69;ул. Ноксинский Спуск, 29, Казань;
f1b42919-8a43-41c4-8949-b32fe5838092;yandex;Бигуди;+7 (843) 250-42-21;0;;https://yandex.ru/maps/org/bigudi/153120731058/;5,0;619;ул. Юлиуса Фучика, 72, Казань;
3cae0e9e-18b8-48e4-ac3d-e7fc04e7d441;yandex;Намечтала;+7 (993) 419-39-87;0;;https://yandex.ru/maps/org/namechtala/217429111843/;5,0;216;Роторная ул., 27Е, Казань;
438f8e7c-43c0-4d83-bdd3-b1531f48b84a;yandex;Victoria;+7 (965) 601-25-83;0;;https://yandex.ru/maps/org/victoria/8535512477/;4,8;88;Пионерская ул., 9А, Советский район, Казань;
